FantasyPlayerKey,PlayerID,Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints,AuctionValue,AuctionValuePPR
16561,16561,Darrin Reaves,KC,RB,562.4,561.2,5,12.2,,1,1
15467,15467,Kendall Gaskins,,RB,566.9,565.8,,12.1,,1,1
1577,1577,Joel Dreessen,,TE,566.9,565.8,,12.1,,1,1
6458,6458,Ronnie Brown,,RB,566.9,565.8,,12.1,,1,1
15082,15082,Gavin Escobar,DAL,TE,570.3,569.1,7,11.7,42.9,1,0
9226,9226,Josh Freeman,,QB,571.4,570.3,,11.7,,1,1
14620,14620,Will Johnson,NYG,RB,572.5,571.4,8,11.6,28.3,0,1
17257,17257,Lucky Whitehead,DAL,WR,572.5,571.4,7,11.6,,1,1
7613,7613,JohnnieLee Higgins,,WR,572.5,571.4,,11.6,,1,1
14424,14424,Brian Quick,LA,WR,575.9,574.8,8,11.5,61.3,0,0
4631,4631,Wes Welker,,WR,575.9,574.8,,11.5,,1,1
16928,16928,Michael Burton,DET,RB,578.2,577,10,11.4,14.3,1,1
8590,8590,Dan Orlovsky,DET,QB,579.3,578.2,10,11.3,0.9,1,1
12702,12702,Alex Henery,,K,580.4,579.3,,11.3,,1,1
15191,15191,Austin Johnson,NO,RB,581.5,580.4,5,11.2,,1,1
15714,15714,Brenton Bersin,CAR,WR,581.5,580.4,7,11.2,,1,1
16111,16111,Ryan Hewitt,CIN,TE,581.5,580.4,9,11.2,45.3,1,1
16287,16287,Juwan Thompson,DEN,RB,581.5,580.4,11,11.2,,1,1
1362,1362,Jackie Battle,,RB,586,584.9,,10.9,,1,1
15746,15746,Matt McGloin,OAK,QB,587.2,586,10,10.9,,1,1
16887,16887,Mike Davis,SF,RB,588.3,587.2,8,10.8,0,0,1
11230,11230,Jacoby Ford,,WR,589.4,588.3,,10.6,,1,1
14070,14070,Cyrus Gray,DEN,RB,590.5,589.4,11,10.3,,1,1
14502,14502,AJ Jenkins,,WR,590.5,589.4,,10.3,,1,1
11101,11101,Garrett Graham,DEN,TE,592.8,591.7,11,10.1,,1,1
16903,16903,MyCole Pruitt,MIN,TE,593.9,592.8,6,10,,1,1
11047,11047,Colt McCoy,WAS,QB,595.1,593.9,9,9.9,,1,1
12327,12327,Jeron Mastrud,,TE,596.2,595.1,,9.9,,1,1
12774,12774,Stevan Ridley,DET,RB,596.2,595.1,10,9.9,38.7,0,0
14850,14850,Russell Shepard,TB,WR,596.2,595.1,6,9.9,,1,1
17271,17271,Bradley Marquez,LA,WR,596.2,595.1,8,9.9,,1,1
16933,16933,James O'Shaughnessy,KC,TE,600.7,599.6,5,9.8,40.9,1,0
15880,15880,Frank Summers,,RB,601.8,600.7,,9.7,,1,1
15416,15416,Zach Sudfeld,NYJ,TE,602.9,601.8,11,9.6,,1,1
1904,1904,Mario Manningham,,WR,602.9,601.8,,9.6,,1,1
13203,13203,Dane Sanzenbacher,,WR,605.2,604.1,,9.5,,1,1
11998,11998,Tony Scheffler,,TE,606.3,605.2,,9.2,,1,1
13929,13929,David Paulson,,TE,606.3,605.2,,9.2,,1,1
13856,13856,Deonte Thompson,CHI,WR,608.6,607.5,9,9.1,,1,1
14753,14753,Will Ta'ufo'ou,,RB,608.6,607.5,,9.1,,1,1
14715,14715,Chris Owusu,,WR,610.8,609.7,,9,,1,1
15781,15781,Derek Moye,,WR,610.8,609.7,,9,,1,1
14657,14657,Alex Tanney,TEN,QB,613.1,612,13,9,,1,1
14152,14152,James Hanna,DAL,TE,614.2,613.1,7,8.9,42.9,1,1
8142,8142,Kellen Davis,NYJ,TE,615.3,614.2,11,8.8,3.9,1,1
10992,10992,Jeff Cumberland,SD,TE,616.5,615.3,11,8.7,,1,1
16240,16240,Zurlon Tipton,,RB,616.5,615.3,,8.7,,1,1
17004,17004,Tre McBride,TEN,WR,618.7,617.6,13,8.6,,1,1
4484,4484,Zach Miller,,TE,618.7,617.6,,8.6,,1,1
9776,9776,Cameron Morrah,,TE,621,619.8,,8.5,,1,1
14968,14968,Justin Brown,,WR,622.1,621,,8.3,,1,1
12996,12996,Jamar Newsome,,WR,623.2,622.1,,8.2,,1,1
12392,12392,Erik Lorig,,RB,624.4,623.2,,8,,1,1
12498,12498,Brian St Pierre,,QB,625.5,624.4,,7.8,,1,1
14641,14641,Michael Egnew,,TE,626.6,625.5,,7.8,,1,1
15068,15068,Nick Kasa,,TE,626.6,625.5,,7.8,,1,1
14817,14817,Mike Brown,,WR,628.9,627.7,,7.7,,1,1
15093,15093,Ryan Nassib,NYG,QB,630,628.9,8,7.6,,1,1
11413,11413,Toby Gerhart,,RB,631.1,630,,7.6,,1,1
11697,11697,Santonio Holmes,,WR,631.1,630,,7.6,,1,1
10946,10946,David Nelson,,WR,633.4,632.2,,7.3,,1,1
5054,5054,Kellen Clemens,SD,QB,634.5,633.4,11,7.2,0.9,1,1
15378,15378,Levine Toilolo,ATL,TE,635.6,634.5,11,7.2,,1,1
17219,17219,Daniel Brown,BAL,WR,635.6,634.5,8,7.2,,1,1
14482,14482,Ryan Lindley,,QB,637.9,636.8,,7.1,,1,1
4276,4276,Brandon Bostick,NYJ,TE,639,637.9,11,7.1,,1,1
15230,15230,Stepfan Taylor,ARI,RB,640.1,639,9,7,,1,1
16699,16699,Fitzgerald Toussaint,PIT,RB,640.1,639,8,7,,1,1
11435,11435,Michael Palmer,,TE,642.4,641.3,,6.9,,1,1
11555,11555,Jim Dray,BUF,TE,642.4,641.3,10,6.9,45.3,1,0
7007,7007,Daniel Fells,,TE,644.6,643.5,,6.8,,1,1
16759,16759,Jerome Cunningham,TEN,TE,645.8,644.6,13,6.6,,1,1
17254,17254,Jarryd Hayne,,RB,645.8,644.6,,6.6,,1,1
14891,14891,Tommy Bohanon,NYJ,RB,648,646.9,11,6.5,15.4,1,1
15123,15123,Corey Fuller,DET,WR,649.2,648,10,6.3,0,1,0
8331,8331,Lex Hilliard,,RB,649.2,648,,6.3,,1,1
13463,13463,Kris Durham,,WR,651.4,650.3,,6.1,,1,1
15965,15965,Trey Burton,PHI,WR,651.4,650.3,4,6.1,,1,1
9739,9739,Hakeem Nicks,,WR,651.4,650.3,,6.1,,1,1
7203,7203,Dwayne Bowe,,WR,654.8,653.7,,6,,1,1
16965,16965,Josh Robinson,,RB,655.9,654.8,,5.9,,1,1
13299,13299,Jacquizz Rodgers,CHI,RB,657,655.9,9,5.7,35.3,0,0
16990,16990,Joey Iosefa,NE,RB,657,655.9,9,5.7,,1,1
11165,11165,Deji Karim,,RB,659.3,658.2,,5.6,,1,1
