StadiumDetails/StadiumID,StadiumDetails/Name,StadiumDetails/City,StadiumDetails/State,StadiumDetails/Country,StadiumDetails/Capacity,StadiumDetails/PlayingSurface,StadiumDetails/GeoLat,StadiumDetails/GeoLong,GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,Channel,PointSpread,OverUnder,StadiumID,GeoLat,GeoLong,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,StadiumDetails
13,Sports Authority Field at Mile High,Denver,CO,USA,76125,Grass,39.743936,-105.020097,201610210,1,2016,2,2016-09-18T16:25:00,IND,DEN,,,,13,,,,,,,,,,
36,TCF Bank Stadium,Minneapolis,MN,USA,50805,,44.976,-93.225,201610220,1,2016,2,2016-09-18T20:30:00,GB,MIN,,,,36,,,,,,,,,,
20,Soldier Field,Chicago,IL,USA,61500,Grass,41.86232,-87.616699,201610206,1,2016,2,2016-09-19T20:30:00,PHI,CHI,,,,20,,,,,,,,,,
4,Gillette Stadium,Foxborough,MA,USA,68756,Grass,42.090866,-71.264244,201610321,1,2016,3,2016-09-22T20:25:00,HOU,NE,,,,4,,,,,,,,,,
1,Ralph Wilson Stadium,Orchard Park,NY,USA,73079,Artificial,42.773758,-78.786837,201610304,1,2016,3,2016-09-25T13:00:00,ARI,BUF,,,,1,,,,,,,,,,
12,LP Field,Nashville,TN,USA,6914,Grass,36.166441,-86.771253,201610334,1,2016,3,2016-09-25T13:00:00,OAK,TEN,,,,12,,,,,,,,,,
2,Sun Life Stadium,Miami Gardens,FL,USA,76100,Grass,25.95774,-80.238781,201610319,1,2016,3,2016-09-25T13:00:00,CLE,MIA,,,,2,,,,,,,,,,
10,EverBank Field,Jacksonville,FL,USA,67246,Artificial,30.323813,-81.637199,201610315,1,2016,3,2016-09-25T13:00:00,BAL,JAX,,,,10,,,,,,,,,,
22,Lambeau Field,Green Bay,WI,USA,80750,Grass,44.501389,-88.061944,201610312,1,2016,3,2016-09-25T13:00:00,DET,GB,,,,22,,,,,,,,,,
5,Paul Brown Stadium,Cincinnati,OH,USA,65535,Artificial,39.095309,-84.516003,201610307,1,2016,3,2016-09-25T13:00:00,DEN,CIN,,,,5,,,,,,,,,,
26,Bank of America Stadium,Charlotte,NC,USA,73778,Grass,35.225808,-80.852861,201610305,1,2016,3,2016-09-25T13:00:00,MIN,CAR,,,,26,,,,,,,,,,
3,MetLife Stadium,East Rutherford,NJ,USA,82500,Artificial,40.813611,-74.074444,201610323,1,2016,3,2016-09-25T13:00:00,WAS,NYG,,,,3,,,,,,,,,,
24,Raymond James Stadium,Tampa Bay,FL,USA,65890,Grass,27.975967,-82.50335,201610333,1,2016,3,2016-09-25T16:05:00,LA,TB,,,,24,,,,,,,,,,
31,CenturyLink Field,Seattle,WA,USA,67000,Artificial,47.595153,-122.331625,201610330,1,2016,3,2016-09-25T16:05:00,SF,SEA,,,,31,,,,,,,,,,
